# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04077e-05 to 522.158 h/Mpc,
# number of wavenumbers equal to 139
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_idm_dr/k2           4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2              9:-T_tot/k2
       1.040771758748e-05       1.987800227123e+07       0.000000000000e+00       1.987800160535e+07       2.649022069856e+07       2.648980445270e+07      1.987995318355e+07
       1.310254014965e-05       1.987798488974e+07       0.000000000000e+00       1.987798383445e+07       2.648213939720e+07       2.648147986193e+07      1.987993333204e+07
       1.649512075345e-05       1.987796179224e+07       0.000000000000e+00       1.987796011985e+07       2.646934196265e+07       2.646829708845e+07      1.987990632166e+07
       2.076612668713e-05       1.987792207116e+07       0.000000000000e+00       1.987791942090e+07       2.644906690347e+07       2.644741192867e+07      1.987986040232e+07
       2.614300459097e-05       1.987785796570e+07       0.000000000000e+00       1.987785376609e+07       2.641696077404e+07       2.641434043982e+07      1.987978648205e+07
       3.291209282022e-05       1.987775816123e+07       0.000000000000e+00       1.987775150721e+07       2.636615177673e+07       2.636200535868e+07      1.987967114465e+07
       4.143387000671e-05       1.987759931526e+07       0.000000000000e+00       1.987758877424e+07       2.628580794816e+07       2.627925278961e+07      1.987948773650e+07
       5.216215186042e-05       1.987734809584e+07       0.000000000000e+00       1.987733140144e+07       2.615893321185e+07       2.614858511236e+07      1.987919772880e+07 
       6.566825851095e-05       1.987695002876e+07       0.000000000000e+00       1.987692360059e+07       2.595900307037e+07       2.594270551530e+07      1.987873853698e+07
       8.267143938770e-05       1.987632017609e+07       0.000000000000e+00       1.987627836657e+07       2.564501310165e+07       2.561944023865e+07      1.987801268275e+07
       1.040771758748e-04       1.987532396666e+07       0.000000000000e+00       1.987525789475e+07       2.515452508178e+07       2.511463352758e+07      1.987686649522e+07
       1.310254014965e-04       1.987374986994e+07       0.000000000000e+00       1.987364563059e+07       2.439482461176e+07       2.433317601612e+07      1.987506006985e+07
       1.649512075345e-04       1.987126708146e+07       0.000000000000e+00       1.987110306219e+07       2.323400833780e+07       2.314014908206e+07      1.987222220299e+07
       2.076612668713e-04       1.986736180599e+07       0.000000000000e+00       1.986710480342e+07       2.149835025699e+07       2.135883607362e+07      1.986778580575e+07
       2.614300459097e-04       1.986124510118e+07       0.000000000000e+00       1.986084503325e+07       1.899209420111e+07       1.879259571909e+07      1.986090164525e+07
       3.291209282022e-04       1.985172641499e+07       0.000000000000e+00       1.985110994648e+07       1.557191446678e+07       1.530415964931e+07      1.985033430306e+07
       4.143387000671e-04       1.983705502355e+07       0.000000000000e+00       1.983611991467e+07       1.131851815912e+07       1.099535278553e+07      1.983435538783e+07
       5.216215186042e-04       1.981474886756e+07       0.000000000000e+00       1.981336373446e+07       6.794792321555e+06       6.470924858495e+06      1.981065013071e+07
       6.566825851095e-04       1.978144939542e+07       0.000000000000e+00       1.977946851431e+07       3.138219163774e+06       2.912026387054e+06      1.977619962128e+07
       8.267143938770e-04       1.973282307136e+07       0.000000000000e+00       1.973012818566e+07       1.363227132275e+06       1.306110456168e+06      1.972697199541e+07
       1.040771758748e-03       1.966341743082e+07       0.000000000000e+00       1.965998921987e+07       9.199328827431e+05       9.541312690081e+05      1.965735170734e+07
       1.310254014965e-03       1.956629670763e+07       0.000000000000e+00       1.956228473575e+07       4.064756080375e+05       3.938384754375e+05      1.956001066734e+07
       1.649512075345e-03       1.943235151103e+07       0.000000000000e+00       1.942806301648e+07       2.161797138721e+05       2.008745479942e+05      1.942600502827e+07
       2.076612668713e-03       1.925084472076e+07       0.000000000000e+00       1.924655487460e+07       5.197891333905e+04       5.454554756618e+04      1.924450528822e+07
       2.614300459097e-03       1.900863858668e+07       0.000000000000e+00       1.900427776152e+07       3.046080447358e+04       2.371043155931e+04      1.900235198440e+07
       3.291209282022e-03       1.869058789336e+07       0.000000000000e+00       1.868577379384e+07       6.211821666549e+03       9.651475818389e+03      1.868431791889e+07
       4.143387000671e-03       1.828011656260e+07       0.000000000000e+00       1.827466063323e+07      -5.478094672375e+03       3.421047152980e+04      1.827386767929e+07
       5.216215186042e-03       1.775961083174e+07       0.000000000000e+00       1.775323481830e+07      -1.653532066303e+04      -1.683769213014e+04      1.775336272991e+07
       6.566825851095e-03       1.711084320653e+07       0.000000000000e+00       1.710297176276e+07      -1.005472693006e+04      -1.023854359809e+04      1.710455325278e+07
       8.267143938770e-03       1.631652621017e+07       0.000000000000e+00       1.630639404665e+07      -6.049380317870e+03      -6.159973526697e+03      1.631011624655e+07
       1.040771758748e-02       1.535881601317e+07       0.000000000000e+00       1.534531643302e+07      -3.592376380060e+03      -3.658056579621e+03      1.535215972386e+07
       1.310254014965e-02       1.422061669372e+07       0.000000000000e+00       1.420227999626e+07      -2.099010295903e+03      -2.137378831997e+03      1.421353588576e+07
       1.649512075342e-02       1.288950838608e+07       0.000000000000e+00       1.286457893763e+07      -1.200079499441e+03      -1.222019473450e+03      1.288178366774e+07
       2.076612652675e-02       1.136512725051e+07       0.000000000000e+00       1.133204987478e+07      -6.675237142064e+02      -6.797276319842e+02      1.135657093436e+07
       2.614288151727e-02       9.683402932980e+06       0.000000000000e+00       9.641958221451e+06      -3.587245557380e+02      -3.652836986381e+02      9.674026869858e+06
       3.289494637023e-02       7.955657148980e+06       0.000000000000e+00       7.908944319010e+06      -1.860911938503e+02      -1.894938891787e+02      7.945962341603e+06
       4.085990114157e-02       6.458754020880e+06       0.000000000000e+00       6.414359011697e+06      -9.790274648152e+01      -9.969288710319e+01      6.449865491788e+06
       4.759146495713e-02       5.588385310375e+06       0.000000000000e+00       5.551379558862e+06      -6.244892405787e+01      -6.359071631796e+01      5.580915838637e+06
       5.247049894044e-02       5.126892194466e+06       0.000000000000e+00       5.096571240510e+06      -4.713195005270e+01      -4.799380001175e+01      5.120610325431e+06
       5.649132062673e-02       4.820363074323e+06       0.000000000000e+00       4.795423549873e+06      -3.823885911746e+01      -3.893803398618e+01      4.815018079247e+06
       6.008009203444e-02       4.583951021336e+06       0.000000000000e+00       4.563226320674e+06      -3.215629560460e+01      -3.274419593175e+01      4.579338719139e+06
       6.342654928880e-02       4.382933187521e+06       0.000000000000e+00       4.365381799897e+06      -2.758999508925e+01      -2.809440916841e+01      4.378879318874e+06
       6.663101624026e-02       4.200239818258e+06       0.000000000000e+00       4.184925366787e+06      -2.396127145516e+01      -2.439931402618e+01      4.196591696864e+06
       6.975360443756e-02       4.026550933950e+06       0.000000000000e+00       4.012639328900e+06      -2.095807698264e+01      -2.134125754543e+01      4.023174711995e+06
       7.283377754163e-02       3.856648182826e+06       0.000000000000e+00       3.843415899004e+06      -1.841438532795e+01      -1.875101757740e+01      3.853428942581e+06
       7.589933616889e-02       3.688118330595e+06       0.000000000000e+00       3.674966750222e+06      -1.621382661940e+01      -1.651025811542e+01      3.684961512634e+06
       7.897101425976e-02       3.520169967156e+06       0.000000000000e+00       3.506640571854e+06      -1.429419647187e+01      -1.455553381241e+01      3.517003281272e+06
       8.206503192764e-02       3.353416107318e+06       0.000000000000e+00       3.339202404718e+06      -1.261017773977e+01      -1.284070328775e+01      3.350190994006e+06
       8.519460753987e-02       3.189452455631e+06       0.000000000000e+00       3.174407471074e+06      -1.112632199194e+01      -1.132974355382e+01      3.186144974463e+06
       8.837090068794e-02       3.030396546548e+06       0.000000000000e+00       3.014531239447e+06      -9.824430957362e+00      -1.000404770466e+01      3.027006973104e+06
       9.160362545494e-02       2.878730126025e+06       0.000000000000e+00       2.862202154940e+06      -8.684145945896e+00      -8.842927059153e+00      2.875281077332e+06
       9.490146328961e-02       2.736888165376e+06       0.000000000000e+00       2.719980033650e+06      -7.692518925336e+00      -7.833157841616e+00      2.733421176321e+06
       9.827234902861e-02       2.606913431219e+06       0.000000000000e+00       2.589997847082e+06      -6.831584830184e+00      -6.956503239361e+00      2.603483621905e+06
       1.017236737558e-01       2.490278223371e+06       0.000000000000e+00       2.473775744258e+06      -6.091207709565e+00      -6.202576113591e+00      2.486947805483e+06
       1.052624314438e-01       2.387401660998e+06       0.000000000000e+00       2.371729391962e+06      -5.453470249877e+00      -5.553180806633e+00      2.384232179547e+06
       1.088953265504e-01       2.297581516466e+06       0.000000000000e+00       2.283100540572e+06      -4.904531829395e+00      -4.994200122849e+00      2.294625912196e+06
       1.126288538462e-01       2.219055281809e+06       0.000000000000e+00       2.206021540868e+06      -4.427952699157e+00      -4.508915187572e+00      2.216350478280e+06
       1.164693580797e-01       2.148957238323e+06       0.000000000000e+00       2.137483531029e+06      -4.011001611516e+00      -4.084329432435e+00      2.146518490271e+06
       1.204230787587e-01       2.083796699312e+06       0.000000000000e+00       2.073832514276e+06      -3.638569370713e+00      -3.705088035397e+00      2.081614605078e+06
       1.244961838106e-01       2.019729448163e+06       0.000000000000e+00       2.011064096049e+06      -3.300124529752e+00      -3.360453813693e+00      2.017770546648e+06
       1.286947948904e-01       1.953312265160e+06       0.000000000000e+00       1.945604353425e+06      -2.986713170747e+00      -3.041316536865e+00      1.951523553468e+06
       1.330250064421e-01       1.881933918631e+06       0.000000000000e+00       1.874765359305e+06      -2.693002857326e+00      -2.742242118642e+00      1.880251101242e+06
       1.374929001818e-01       1.804491237276e+06       0.000000000000e+00       1.797439453894e+06      -2.417149019270e+00      -2.461342871962e+00      1.802849638208e+06
       1.421045563757e-01       1.721656017707e+06       0.000000000000e+00       1.714372218362e+06      -2.159129918149e+00      -2.198601070429e+00      1.720002368030e+06
       1.468660630944e-01       1.635816606787e+06       0.000000000000e+00       1.628094030322e+06      -1.920334602783e+00      -1.955442143958e+00      1.634119272298e+06
       1.517835244998e-01       1.550556271823e+06       0.000000000000e+00       1.542371809830e+06      -1.703924485624e+00      -1.735077549575e+00      1.548811447016e+06
       1.568630691428e-01       1.469971371319e+06       0.000000000000e+00       1.461487247826e+06      -1.512155414522e+00      -1.539804914900e+00      1.468203192183e+06
       1.621108591970e-01       1.397563153307e+06       0.000000000000e+00       1.389082887023e+06      -1.346182898709e+00      -1.370795083650e+00      1.395816946398e+06
       1.675331015253e-01       1.335349967784e+06       0.000000000000e+00       1.327236315147e+06      -1.204254731015e+00      -1.226273505870e+00      1.333679781372e+06
       1.731360614562e-01       1.283095473159e+06       0.000000000000e+00       1.275666329383e+06      -1.083517388825e+00      -1.103328380588e+00      1.281548369210e+06
       1.789260801313e-01       1.238283779033e+06       0.000000000000e+00       1.231718646352e+06      -9.792440668478e-01      -9.971474903544e-01      1.236885794589e+06
       1.849095962799e-01       1.197050660535e+06       0.000000000000e+00       1.191336738338e+06      -8.865284521060e-01      -9.027354232326e-01      1.195798726307e+06
       1.910931732695e-01       1.154996005089e+06       0.000000000000e+00       1.149935090756e+06      -8.007854706273e-01      -8.154280286635e-01      1.153859188979e+06
       1.974835322860e-01       1.108605507183e+06       0.000000000000e+00       1.103884866151e+06      -7.197866788895e-01      -7.329467130044e-01      1.107535899782e+06
       2.040875925091e-01       1.057135144892e+06       0.000000000000e+00       1.052444442911e+06      -6.427203893868e-01      -6.544701879736e-01      1.056085433869e+06
       2.109125191817e-01       1.002776249049e+06       0.000000000000e+00       9.979227370763e+05      -5.706523541304e-01      -5.810872465804e-01      1.001716969987e+06
       2.179657805301e-01       9.493603689938e+05       0.000000000000e+00       9.443356828182e+05      -5.058514998088e-01      -5.151008613987e-01      9.482899280610e+05
       2.252552145873e-01       9.006608193953e+05       0.000000000000e+00       8.956268394965e+05      -4.493424769658e-01      -4.575582512369e-01      8.996032864822e+05
       2.327891071206e-01       8.588768834891e+05       0.000000000000e+00       8.540750633574e+05      -4.011989765365e-01      -4.085346750027e-01      8.578681952680e+05
       2.405762820796e-01       8.237207843789e+05       0.000000000000e+00       8.193450042764e+05      -3.602858909874e-01      -3.668735577198e-01      8.227894798317e+05
       2.486262062836e-01       7.922718931541e+05       0.000000000000e+00       7.883704265666e+05      -3.245369445614e-01      -3.304699720160e-01      7.914244711391e+05
       2.569491104855e-01       7.607079831214e+05       0.000000000000e+00       7.571679915315e+05      -2.917060043285e-01      -2.970397368705e-01      7.599267296520e+05
       2.655561295110e-01       7.265975491345e+05       0.000000000000e+00       7.232222261630e+05      -2.609015729448e-01      -2.656713396915e-01      7.258522607159e+05
       2.744594649196e-01       6.901484367931e+05       0.000000000000e+00       6.867809583621e+05      -2.319910897098e-01      -2.362322496053e-01      6.894151372594e+05
       2.836725746277e-01       6.539234076421e+05       0.000000000000e+00       6.505373113443e+05      -2.057518365468e-01      -2.095133847265e-01      6.531978687048e+05
       2.932103952440e-01       6.210639531654e+05       0.000000000000e+00       6.177586198322e+05      -1.828732582454e-01      -1.862170076780e-01      6.203608129613e+05
       3.030896046034e-01       5.926254471185e+05       0.000000000000e+00       5.895321476176e+05      -1.633362222832e-01      -1.663223567837e-01      5.919640482333e+05
       3.133289343025e-01       5.671231891230e+05       0.000000000000e+00       5.642963420524e+05      -1.462384071201e-01      -1.489123812590e-01      5.665112244433e+05
       3.239495451399e-01       5.419747610697e+05       0.000000000000e+00       5.393561510360e+05      -1.307363429668e-01      -1.331269821657e-01      5.414029697213e+05
       3.349754825807e-01       5.155991898809e+05       0.000000000000e+00       5.130820499596e+05      -1.163334670099e-01      -1.184605155052e-01      5.150511410093e+05
       3.464342351395e-01       4.888827102186e+05       0.000000000000e+00       4.864115285460e+05      -1.031401174101e-01      -1.050257082151e-01      4.883497731737e+05
       3.583574266124e-01       4.637525853558e+05       0.000000000000e+00       4.613613904454e+05      -9.143200173368e-02      -9.310358829005e-02      4.632396442618e+05
       3.707816844194e-01       4.411874839173e+05       0.000000000000e+00       4.389420892952e+05      -8.125459633091e-02      -8.274008193755e-02      4.407041334616e+05
       3.837497425655e-01       4.200936745869e+05       0.000000000000e+00       4.180085658059e+05      -7.223038891539e-02      -7.355089774274e-02      4.196417590103e+05
       3.973118614006e-01       3.989894368900e+05       0.000000000000e+00       3.970177398618e+05      -6.399895966440e-02      -6.516897505562e-02      3.985615866294e+05
       4.115276815252e-01       3.777570739105e+05       0.000000000000e+00       3.758581048511e+05      -5.647738055231e-02      -5.750990485947e-02      3.773469277801e+05
       4.264686824669e-01       3.574606400484e+05       0.000000000000e+00       3.556464202976e+05      -4.976279004822e-02      -5.067256805552e-02      3.570698126723e+05
       4.422214992928e-01       3.385066325495e+05       0.000000000000e+00       3.368056928496e+05      -4.382779815608e-02      -4.462905857640e-02      3.381392153054e+05
       4.588924813592e-01       3.202222905467e+05       0.000000000000e+00       3.186271278977e+05      -3.850359951692e-02      -3.920751387563e-02      3.198769057190e+05
       4.766140911158e-01       3.019752221886e+05       0.000000000000e+00       3.004605263437e+05      -3.365734381771e-02      -3.427269358225e-02      3.016478778303e+05
       4.955541001541e-01       2.842047339838e+05       0.000000000000e+00       2.827727342378e+05      -2.930221147867e-02      -2.983792564181e-02      2.838956401071e+05
       5.159291644739e-01       2.671995567915e+05       0.000000000000e+00       2.658614516925e+05      -2.541702627903e-02      -2.588169513213e-02      2.669102489513e+05
       5.380254897803e-01       2.503661957902e+05       0.000000000000e+00       2.491119426632e+05      -2.189910319167e-02      -2.229946842516e-02      2.500950437159e+05
       5.622314275131e-01       2.336994514348e+05       0.000000000000e+00       2.325254899922e+05      -1.871944556788e-02      -1.906167228962e-02      2.334458459792e+05
       5.890910638348e-01       2.172958014804e+05       0.000000000000e+00       2.162072074502e+05      -1.585460202935e-02      -1.614445260902e-02      2.170604633534e+05
       6.193967126957e-01       2.007947851323e+05       0.000000000000e+00       1.997874631734e+05      -1.325214786309e-02      -1.349441924324e-02      2.005770989237e+05
