#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.743273E-04   0.198404E+08   0.198404E+08   0.257527E+08   0.257516E+08   0.198407E+08   0.198404E+08   0.198404E+08   0.198470E+08  -0.472901E+00   0.104651E+08   0.104651E+08   0.417324E-01
   0.103732E-03   0.198392E+08   0.198392E+08   0.251023E+08   0.251003E+08   0.198377E+08   0.198392E+08   0.198392E+08   0.198456E+08  -0.472865E+00   0.104645E+08   0.104645E+08   0.581718E-01
   0.144770E-03   0.198369E+08   0.198369E+08   0.238783E+08   0.238748E+08   0.198317E+08   0.198369E+08   0.198369E+08   0.198429E+08  -0.472795E+00   0.104632E+08   0.104632E+08   0.809962E-01
   0.202043E-03   0.198324E+08   0.198324E+08   0.216501E+08   0.216440E+08   0.198202E+08   0.198323E+08   0.198324E+08   0.198378E+08  -0.472662E+00   0.104608E+08   0.104608E+08   0.112537E+00
   0.281973E-03   0.198237E+08   0.198237E+08   0.178498E+08   0.178408E+08   0.197980E+08   0.198236E+08   0.198237E+08   0.198281E+08  -0.472410E+00   0.104561E+08   0.104561E+08   0.155755E+00
   0.393525E-03   0.198073E+08   0.198073E+08   0.121659E+08   0.121562E+08   0.197553E+08   0.198071E+08   0.198073E+08   0.198102E+08  -0.471946E+00   0.104473E+08   0.104473E+08   0.214130E+00
   0.549209E-03   0.197770E+08   0.197770E+08   0.569310E+07   0.568961E+07   0.196747E+08   0.197766E+08   0.197770E+08   0.197780E+08  -0.471127E+00   0.104310E+08   0.104310E+08   0.291354E+00
   0.766483E-03   0.197229E+08   0.197229E+08   0.167037E+07   0.167482E+07   0.195253E+08   0.197220E+08   0.197229E+08   0.197224E+08  -0.469745E+00   0.104019E+08   0.104018E+08   0.391370E+00
   0.106971E-02   0.196303E+08   0.196301E+08   0.937440E+06   0.933474E+06   0.192573E+08   0.196286E+08   0.196303E+08   0.196288E+08  -0.467482E+00   0.103522E+08   0.103522E+08   0.519875E+00
   0.149290E-02   0.194775E+08   0.194773E+08   0.230780E+06   0.222490E+06   0.187987E+08   0.194744E+08   0.194775E+08   0.194745E+08  -0.463793E+00   0.102708E+08   0.102708E+08   0.685391E+00
   0.208352E-02   0.192336E+08   0.192331E+08  -0.107339E+06  -0.107392E+06   0.180761E+08   0.192283E+08   0.192335E+08   0.192283E+08  -0.457922E+00   0.101411E+08   0.101411E+08   0.898029E+00
   0.290778E-02   0.188579E+08   0.188569E+08  -0.540352E+05  -0.540617E+05   0.170454E+08   0.188496E+08   0.188577E+08   0.188496E+08  -0.448900E+00   0.994164E+07   0.994163E+07   0.117029E+01
   0.405814E-02   0.183030E+08   0.183012E+08  -0.269324E+05  -0.269456E+05   0.156919E+08   0.182910E+08   0.183027E+08   0.182910E+08  -0.435595E+00   0.964750E+07   0.964748E+07   0.151685E+01
   0.419569E-02   0.182357E+08   0.182338E+08  -0.251038E+05  -0.251161E+05   0.155377E+08   0.182233E+08   0.182354E+08   0.182233E+08  -0.433984E+00   0.961187E+07   0.961185E+07   0.155620E+01
   0.433790E-02   0.181661E+08   0.181641E+08  -0.233960E+05  -0.234075E+05   0.153799E+08   0.181533E+08   0.181658E+08   0.181533E+08  -0.432317E+00   0.957501E+07   0.957499E+07   0.159646E+01
   0.448493E-02   0.180942E+08   0.180920E+08  -0.218012E+05  -0.218119E+05   0.152180E+08   0.180809E+08   0.180938E+08   0.180809E+08  -0.430592E+00   0.953688E+07   0.953686E+07   0.163766E+01
   0.463695E-02   0.180197E+08   0.180174E+08  -0.203121E+05  -0.203221E+05   0.150531E+08   0.180061E+08   0.180194E+08   0.180061E+08  -0.428809E+00   0.949747E+07   0.949745E+07   0.167980E+01
   0.479412E-02   0.179428E+08   0.179403E+08  -0.189219E+05  -0.189311E+05   0.148846E+08   0.179287E+08   0.179424E+08   0.179287E+08  -0.426967E+00   0.945674E+07   0.945672E+07   0.172289E+01
   0.495662E-02   0.178634E+08   0.178607E+08  -0.176239E+05  -0.176326E+05   0.147126E+08   0.178488E+08   0.178629E+08   0.178488E+08  -0.425064E+00   0.941467E+07   0.941464E+07   0.176696E+01
   0.512462E-02   0.177813E+08   0.177785E+08  -0.164124E+05  -0.164204E+05   0.145372E+08   0.177663E+08   0.177809E+08   0.177663E+08  -0.423100E+00   0.937123E+07   0.937120E+07   0.181201E+01
   0.529832E-02   0.176966E+08   0.176936E+08  -0.152815E+05  -0.152890E+05   0.143582E+08   0.176812E+08   0.176961E+08   0.176812E+08  -0.421072E+00   0.932640E+07   0.932637E+07   0.185805E+01
   0.547791E-02   0.176092E+08   0.176060E+08  -0.142261E+05  -0.142331E+05   0.141757E+08   0.175933E+08   0.176087E+08   0.175933E+08  -0.418980E+00   0.928014E+07   0.928011E+07   0.190509E+01
   0.566358E-02   0.175191E+08   0.175157E+08  -0.132412E+05  -0.132477E+05   0.139896E+08   0.175027E+08   0.175186E+08   0.175027E+08  -0.416822E+00   0.923243E+07   0.923240E+07   0.195314E+01
   0.585555E-02   0.174262E+08   0.174225E+08  -0.123222E+05  -0.123283E+05   0.137998E+08   0.174093E+08   0.174256E+08   0.174093E+08  -0.414598E+00   0.918325E+07   0.918322E+07   0.200220E+01
   0.605403E-02   0.173308E+08   0.173270E+08  -0.114652E+05  -0.114708E+05   0.135843E+08   0.173134E+08   0.173302E+08   0.173134E+08  -0.412313E+00   0.913276E+07   0.913272E+07   0.205228E+01
   0.625923E-02   0.172321E+08   0.172280E+08  -0.106654E+05  -0.106706E+05   0.133838E+08   0.172142E+08   0.172315E+08   0.172142E+08  -0.409951E+00   0.908052E+07   0.908048E+07   0.210338E+01
