#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.711238E-04   0.202872E+08   0.202872E+08   0.263085E+08   0.263074E+08   0.202874E+08   0.202872E+08   0.202872E+08   0.202943E+08  -0.457330E+00   0.986549E+07   0.986549E+07   0.444102E-01
   0.117263E-03   0.202848E+08   0.202848E+08   0.250749E+08   0.250720E+08   0.202813E+08   0.202847E+08   0.202848E+08   0.202915E+08  -0.457260E+00   0.986427E+07   0.986427E+07   0.730539E-01
   0.193334E-03   0.202782E+08   0.202782E+08   0.219831E+08   0.219758E+08   0.202647E+08   0.202781E+08   0.202782E+08   0.202840E+08  -0.457074E+00   0.986099E+07   0.986099E+07   0.119723E+00
   0.318755E-03   0.202607E+08   0.202607E+08   0.152585E+08   0.152424E+08   0.202201E+08   0.202605E+08   0.202607E+08   0.202646E+08  -0.456594E+00   0.985230E+07   0.985230E+07   0.194387E+00
   0.525537E-03   0.202162E+08   0.202161E+08   0.546136E+07   0.543110E+07   0.201035E+08   0.202156E+08   0.202162E+08   0.202171E+08  -0.455441E+00   0.983013E+07   0.983013E+07   0.309443E+00
   0.866465E-03   0.201108E+08   0.201107E+08   0.104987E+07   0.994078E+06   0.198117E+08   0.201094E+08   0.201108E+08   0.201096E+08  -0.452935E+00   0.977785E+07   0.977785E+07   0.478786E+00
   0.142856E-02   0.198833E+08   0.198830E+08   0.167819E+06   0.123608E+06   0.191420E+08   0.198797E+08   0.198832E+08   0.198798E+08  -0.447732E+00   0.966591E+07   0.966590E+07   0.725201E+00
   0.235530E-02   0.194289E+08   0.194281E+08  -0.119490E+06  -0.119525E+06   0.178463E+08   0.194213E+08   0.194288E+08   0.194212E+08  -0.437395E+00   0.944325E+07   0.944324E+07   0.108296E+01
   0.388323E-02   0.185971E+08   0.185951E+08  -0.420795E+05  -0.420917E+05   0.158117E+08   0.185835E+08   0.185967E+08   0.185835E+08  -0.418525E+00   0.903657E+07   0.903655E+07   0.159757E+01
   0.408232E-02   0.184866E+08   0.184844E+08  -0.378499E+05  -0.378609E+05   0.155651E+08   0.184724E+08   0.184862E+08   0.184724E+08  -0.416021E+00   0.898261E+07   0.898259E+07   0.165971E+01
   0.429163E-02   0.183705E+08   0.183681E+08  -0.340338E+05  -0.340437E+05   0.153103E+08   0.183556E+08   0.183701E+08   0.183555E+08  -0.413391E+00   0.892591E+07   0.892589E+07   0.172400E+01
   0.451166E-02   0.182485E+08   0.182459E+08  -0.305916E+05  -0.306004E+05   0.150470E+08   0.182329E+08   0.182481E+08   0.182329E+08  -0.410628E+00   0.886638E+07   0.886635E+07   0.179050E+01
   0.474298E-02   0.181206E+08   0.181177E+08  -0.274872E+05  -0.274952E+05   0.147762E+08   0.181043E+08   0.181201E+08   0.181042E+08  -0.407731E+00   0.880393E+07   0.880390E+07   0.185924E+01
   0.498616E-02   0.179865E+08   0.179834E+08  -0.246883E+05  -0.246955E+05   0.144975E+08   0.179694E+08   0.179860E+08   0.179694E+08  -0.404694E+00   0.873848E+07   0.873845E+07   0.193027E+01
   0.524181E-02   0.178461E+08   0.178426E+08  -0.221654E+05  -0.221718E+05   0.142107E+08   0.178283E+08   0.178455E+08   0.178283E+08  -0.401515E+00   0.866995E+07   0.866992E+07   0.200362E+01
   0.551056E-02   0.176991E+08   0.176954E+08  -0.198917E+05  -0.198975E+05   0.139157E+08   0.176806E+08   0.176985E+08   0.176806E+08  -0.398189E+00   0.859826E+07   0.859823E+07   0.207932E+01
   0.579309E-02   0.175461E+08   0.175419E+08  -0.178439E+05  -0.178491E+05   0.135868E+08   0.175266E+08   0.175454E+08   0.175266E+08  -0.394721E+00   0.852353E+07   0.852349E+07   0.215738E+01
   0.609011E-02   0.173856E+08   0.173810E+08  -0.159990E+05  -0.160036E+05   0.132694E+08   0.173653E+08   0.173848E+08   0.173653E+08  -0.391088E+00   0.844523E+07   0.844519E+07   0.223779E+01
   0.640236E-02   0.172181E+08   0.172131E+08  -0.143377E+05  -0.143419E+05   0.129430E+08   0.171970E+08   0.172173E+08   0.171970E+08  -0.387297E+00   0.836352E+07   0.836347E+07   0.232056E+01
   0.673061E-02   0.170434E+08   0.170379E+08  -0.128423E+05  -0.128460E+05   0.126085E+08   0.170214E+08   0.170425E+08   0.170214E+08  -0.383344E+00   0.827829E+07   0.827824E+07   0.240566E+01
   0.707570E-02   0.168613E+08   0.168553E+08  -0.114967E+05  -0.115000E+05   0.122672E+08   0.168385E+08   0.168603E+08   0.168385E+08  -0.379224E+00   0.818947E+07   0.818942E+07   0.249303E+01
   0.743848E-02   0.166717E+08   0.166651E+08  -0.102862E+05  -0.102892E+05   0.119204E+08   0.166481E+08   0.166706E+08   0.166481E+08  -0.374935E+00   0.809700E+07   0.809695E+07   0.258261E+01
   0.781986E-02   0.164743E+08   0.164671E+08  -0.919769E+04  -0.920036E+04   0.115696E+08   0.164499E+08   0.164731E+08   0.164499E+08  -0.370471E+00   0.800077E+07   0.800071E+07   0.267429E+01
   0.822079E-02   0.162691E+08   0.162612E+08  -0.821923E+04  -0.822162E+04   0.112151E+08   0.162438E+08   0.162678E+08   0.162438E+08  -0.365831E+00   0.790072E+07   0.790065E+07   0.276795E+01
   0.864228E-02   0.160559E+08   0.160472E+08  -0.734005E+04  -0.734218E+04   0.108567E+08   0.160298E+08   0.160544E+08   0.160298E+08  -0.361010E+00   0.779677E+07   0.779670E+07   0.286342E+01
   0.908538E-02   0.158344E+08   0.158249E+08  -0.655038E+04  -0.655228E+04   0.104939E+08   0.158075E+08   0.158328E+08   0.158075E+08  -0.356004E+00   0.768884E+07   0.768876E+07   0.296048E+01
   0.955119E-02   0.156047E+08   0.155943E+08  -0.584143E+04  -0.584312E+04   0.101268E+08   0.155770E+08   0.156030E+08   0.155770E+08  -0.350812E+00   0.757688E+07   0.757679E+07   0.305888E+01
   0.100409E-01   0.153664E+08   0.153551E+08  -0.520521E+04  -0.520672E+04   0.975599E+07   0.153380E+08   0.153646E+08   0.153380E+08  -0.345429E+00   0.746079E+07   0.746069E+07   0.315830E+01
   0.105557E-01   0.151196E+08   0.151072E+08  -0.463453E+04  -0.463588E+04   0.938258E+07   0.150903E+08   0.151175E+08   0.150903E+08  -0.339852E+00   0.734051E+07   0.734041E+07   0.325837E+01
   0.110969E-01   0.148639E+08   0.148505E+08  -0.412289E+04  -0.412408E+04   0.900768E+07   0.148339E+08   0.148617E+08   0.148339E+08  -0.334077E+00   0.721595E+07   0.721584E+07   0.335863E+01
   0.116659E-01   0.145993E+08   0.145847E+08  -0.366440E+04  -0.366546E+04   0.863236E+07   0.145686E+08   0.145968E+08   0.145686E+08  -0.328101E+00   0.708706E+07   0.708694E+07   0.345856E+01
